SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,avg_charge_per_month,num_services,gender_Male,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,tenure_group_1-2yr,tenure_group_2-4yr,tenure_group_4+yr
0,0,0,0.1023712383613841,0,0,-0.5219756496159262,-0.2632890631964203,-0.23628800011043513,0.12188174421365756,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False
0,1,1,-0.7117434584104956,1,0,0.3374778078243394,-0.5048144831572396,0.18296033392947406,-0.3530018981789749,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
0,1,1,-0.7931549280876836,0,0,-0.8090131942822701,-0.7512134391325384,-0.32284342902317603,0.12188174421365756,True,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False
0,1,0,-0.2639803751859618,1,1,0.2843841579438598,-0.1736994214167345,0.15936397598127577,1.0716490289989224,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False,False,True,False
0,1,1,-1.2816237461508113,1,0,-0.6762790695810708,-0.99085091270937,-0.6604449580172009,-0.8278855405716075,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0,0,1,1.3642490183577978,1,1,0.48348534499565887,1.2709747139024437,0.27768997596051714,1.546532671391555,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,False,False,True
0,0,0,-1.2816237461508113,1,0,-1.497571466169742,-1.0017175808497631,-0.8704609899677029,-1.3027691829642398,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False
0,1,0,0.30589991255435406,1,0,-0.27641751891870747,0.03415030374133098,-0.053700932328421325,-0.3530018981789749,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
0,1,0,1.3235432835192036,1,1,-0.17023021915774814,0.6616070891730831,-0.05924754938313773,0.12188174421365756,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,True
0,0,0,1.1200146093262338,1,0,0.5183280527297236,1.1177217638255048,0.3100384648702139,1.0716490289989224,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,False,True,False,False,False,False,True
1,0,0,-1.1188008067964355,1,0,-0.1669118660402181,-0.8840282719595658,-0.2242904512593907,0.5967653866062901,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
0,1,1,-1.1188008067964355,1,1,-0.5153389433808665,-0.9083081405722422,-0.38070643195787907,-0.3530018981789749,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0,0,0,-1.2409180113122174,1,0,-0.46390447005915153,-0.9563849147691331,-0.34238027393862924,-0.3530018981789749,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0,1,1,-0.10115743583158582,1,0,0.08860132400959055,-0.1322085066988697,0.05653841544587823,1.0716490289989224,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False
0,1,0,0.14307697319997809,1,1,1.0111034906829266,0.5149619514401006,0.5550565108763376,0.12188174421365756,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False
0,1,1,0.9164859351332638,1,1,0.1367174442137754,0.676710660244983,0.12603932209527066,-0.8278855405716075,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True
0,0,0,-0.06045170099299184,1,1,0.6576988836659831,0.13702142880371965,0.34752592664220333,0.12188174421365756,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
1,1,1,-0.1825689055087738,0,1,-0.9633166142474143,-0.5829227765784898,-0.46868737314954295,-0.8278855405716075,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False
0,0,0,-0.6710377235719016,1,0,-1.5257774676687466,-0.8669269901790279,-0.7122314424256729,-1.3027691829642398,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,True,False,False
0,0,0,-1.0780950719578415,1,0,-1.4859572302583868,-0.9531139378945502,-0.7220860271351405,-1.3027691829642398,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False
